WT,Isoprene producer_642,Isoprene producer_704,Isoprene producer_731,Category
0.29,0.12,0.15,0.13,Organic acid
0.42,0.42,0.33,0.34,Organic acid
0.4,0.42,0.62,0.41,Organic acid
0.31,0.29,0.15,0.29,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.49,0.57,0.48,0.34,Organic acid
0.26,0.24,0.17,0.86,Organic acid
0.14,0.16,0.29,0.28,Organic acid
0.32,0.35,0.49,0.42,Organic acid
0.54,0.57,0.37,0.34,Organic acid
0.5,0.49,0.31,0.25,Organic acid
0.38,0.33,0.33,0.43,Organic acid
0.13,0.13,0.06,0.14,Amino acid and nitrogenous compounds
0.11,0.12,0.13,0.33,Amino acid and nitrogenous compounds
0.27,0.35,0.35,0.67,Amino acid and nitrogenous compounds
0.26,0.06,0.53,0.39,Amino acid and nitrogenous compounds
0.11,0.2,0.19,0.55,Amino acid and nitrogenous compounds
0.0,0.0,0.05,0.04,Amino acid and nitrogenous compounds
0.18,0.22,0.16,0.35,Amino acid and nitrogenous compounds
0.29,0.12,0.22,0.38,Amino acid and nitrogenous compounds
0.02,0.03,0.12,0.16,Amino acid and nitrogenous compounds
0.3,0.39,0.36,0.47,Amino acid and nitrogenous compounds
0.03,0.02,0.32,0.31,Amino acid and nitrogenous compounds
0.47,0.53,0.55,0.48,Amino acid and nitrogenous compounds
0.38,0.3,0.31,0.73,Amino acid and nitrogenous compounds
0.32,0.53,0.52,0.38,Amino acid and nitrogenous compounds
0.27,0.5,0.56,0.48,Amino acid and nitrogenous compounds
0.01,0.0,0.02,0.03,Carbohydrates and Phosphorylated Intermediates
0.38,0.17,0.41,0.81,Carbohydrates and Phosphorylated Intermediates
0.05,0.03,0.04,0.14,Carbohydrates and Phosphorylated Intermediates
0.04,0.01,0.01,0.02,Carbohydrates and Phosphorylated Intermediates
0.11,0.31,0.42,0.18,Carbohydrates and Phosphorylated Intermediates
0.52,0.24,0.24,0.62,Carbohydrates and Phosphorylated Intermediates
0.15,0.17,0.3,0.51,Carbohydrates and Phosphorylated Intermediates
0.09,0.15,0.19,0.48,Carbohydrates and Phosphorylated Intermediates
0.37,0.44,0.31,0.33,Carbohydrates and Phosphorylated Intermediates
0.45,0.55,0.34,0.36,Carbohydrates and Phosphorylated Intermediates
0.43,0.37,0.16,0.34,Carbohydrates and Phosphorylated Intermediates
0.31,0.35,0.27,0.21,Carbohydrates and Phosphorylated Intermediates
0.34,0.46,0.28,0.3,Carbohydrates and Phosphorylated Intermediates
0.33,0.36,0.28,0.25,Carbohydrates and Phosphorylated Intermediates
0.44,0.54,0.38,0.36,Carbohydrates and Phosphorylated Intermediates
0.43,0.34,0.22,0.19,Carbohydrates and Phosphorylated Intermediates
0.4,0.05,0.33,0.2,Carbohydrates and Phosphorylated Intermediates
0.31,0.32,0.2,0.19,Carbohydrates and Phosphorylated Intermediates
0.34,0.44,0.25,0.26,Carbohydrates and Phosphorylated Intermediates
0.37,0.42,0.36,0.33,Carbohydrates and Phosphorylated Intermediates
0.06,0.02,0.01,0.03,Carbohydrates and Phosphorylated Intermediates
0.02,0.05,0.02,0.11,Carbohydrates and Phosphorylated Intermediates
0.18,0.22,0.16,0.35,Amino acid and nitrogenous compounds
0.26,0.06,0.53,0.39,Amino acid and nitrogenous compounds
0.38,0.3,0.31,0.73,Amino acid and nitrogenous compounds
0.27,0.5,0.56,0.48,Amino acid and nitrogenous compounds
0.03,0.02,0.32,0.31,Amino acid and nitrogenous compounds
0.29,0.12,0.22,0.38,Amino acid and nitrogenous compounds
0.38,0.3,0.31,0.73,Amino acid and nitrogenous compounds
0.5,0.55,0.41,0.36,Organic acid
0.26,0.24,0.17,0.86,Organic acid
0.54,0.57,0.37,0.34,Organic acid
0.4,0.42,0.62,0.41,Organic acid
0.26,0.24,0.17,0.86,Organic acid
0.5,0.49,0.31,0.25,Organic acid
0.5,0.49,0.31,0.25,Organic acid
0.14,0.16,0.29,0.28,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.31,0.29,0.15,0.29,Organic acid
0.1863578068746662,0.21422017556848527,0.16346789465890885,0.3517339473294544,Amino acid and nitrogenous compounds
0.07506305742764315,0.07632882178455393,0.21297523860934753,0.3212657643569108,Amino acid and nitrogenous compounds
0.3470833005079832,0.5115624950761974,0.5561458349746009,0.48,Amino acid and nitrogenous compounds
0.26744539964476577,0.34760506216696785,0.34744539964476573,0.6680840497335744,Amino acid and nitrogenous compounds
0.38,0.3,0.31,0.73,Amino acid and nitrogenous compounds
0.2820512733013006,0.5072307639807804,0.5503589813589596,0.45589745339739884,Amino acid and nitrogenous compounds
0.38,0.3,0.31,0.73,Amino acid and nitrogenous compounds
0.15269976604478347,0.21219993315565241,0.17170010026652138,0.42800066844347584,Amino acid and nitrogenous compounds
0.19834855970902193,0.20331949117361642,0.17000830529583014,0.35500415264791507,Amino acid and nitrogenous compounds
0.26520093960523317,0.07040187921046633,0.47625695741259066,0.3882663534649223,Amino acid and nitrogenous compounds
0.38,0.3,0.31,0.73,Amino acid and nitrogenous compounds
0.27,0.47266458683179063,0.521730421564507,0.5146248566797318,Amino acid and nitrogenous compounds
0.27,0.3866957884523521,0.401374103833293,0.6235186679603539,Amino acid and nitrogenous compounds
0.33323285380596307,0.3212577937245622,0.32700623497964976,0.7044906475305254,Amino acid and nitrogenous compounds
0.06119124943022832,0.06158833257363777,0.2867293339410898,0.31831766651472754,Amino acid and nitrogenous compounds
0.1878139409924015,0.12,0.16890697049620076,0.35161498360900045,Amino acid and nitrogenous compounds
0.11563639264200054,0.19749493660355533,0.19093939877366675,0.5446767402825551,Amino acid and nitrogenous compounds
0.0205029793026502,0.0205029793026502,0.05157715225405002,0.05577152254050016,Amino acid and nitrogenous compounds
0.1414827893358836,0.20899508266739533,0.17650737599890703,0.4600491733260469,Amino acid and nitrogenous compounds
0.026048497639981856,0.023951502360018143,0.24096995279963712,0.25072746459972783,Amino acid and nitrogenous compounds
0.11146682268412411,0.12073341134206206,0.1248661206055656,0.3160651845008209,Amino acid and nitrogenous compounds
0.30000008045579374,0.33636359979282104,0.33909087983425684,0.6863636802486148,Amino acid and nitrogenous compounds
0.3440805154313581,0.31632703844029175,0.32306163075223343,0.7104075538716499,Amino acid and nitrogenous compounds
0.017113319232161982,0.011408879488107988,0.20401987308945785,0.19401987308945787,Amino acid and nitrogenous compounds
0.23270823139715938,0.17208342600258236,0.18874994439845058,0.36437497219922527,Amino acid and nitrogenous compounds
0.11077655951301302,0.12038827975650651,0.12728204170445445,0.32262268462637633,Amino acid and nitrogenous compounds
0.3124372921057479,0.37600804638103363,0.3522266924339076,0.5104211993436806,Amino acid and nitrogenous compounds
0.32053597797252387,0.39548238017527143,0.4005359779725238,0.6219908209261024,Amino acid and nitrogenous compounds
0.14777844926723557,0.21079384264778162,0.1738092360283276,0.44206157352218406,Amino acid and nitrogenous compounds
0.2445426282230233,0.16132488343361517,0.1952050699398309,0.36760253496991546,Amino acid and nitrogenous compounds
0.18,0.22,0.16,0.35,Amino acid and nitrogenous compounds
0.34859315046266304,0.5117889725693995,0.5560703424768669,0.48,Amino acid and nitrogenous compounds
0.12931994274157804,0.20551998364045088,0.1817200245393237,0.49480016359549134,Amino acid and nitrogenous compounds
0.3474099143725509,0.3148136752852041,0.3218509402281633,0.712223589657755,Amino acid and nitrogenous compounds
0.3667786448749598,0.3148740245156702,0.3182633469531501,0.6870305958436194,Amino acid and nitrogenous compounds
0.30031272813482385,0.3921890969437672,0.362501825078591,0.4685927233932925,Amino acid and nitrogenous compounds
0.27,0.5,0.56,0.48,Amino acid and nitrogenous compounds
0.40287014191015313,0.4747165874554203,0.4749725115466418,0.47605118481824427,Amino acid and nitrogenous compounds
0.052283699218984195,0.059348817471803816,0.10239070951691771,0.15413023650563926,Amino acid and nitrogenous compounds
0.2707039911357542,0.5004223946814526,0.5594368070913966,0.4785920177284915,Amino acid and nitrogenous compounds
0.43023151918223895,0.49420836726401507,0.510231519182239,0.517780056776873,Amino acid and nitrogenous compounds
0.1302060633075945,0.205773160945027,0.1813402585824595,0.49226839054973004,Amino acid and nitrogenous compounds
0.1435719135150071,0.23147366892031918,0.2235719135150071,0.5751789351362554,Amino acid and nitrogenous compounds
0.38,0.3,0.31,0.73,Amino acid and nitrogenous compounds
0.38,0.3,0.31,0.73,Amino acid and nitrogenous compounds
0.2804676892349417,0.4616184728052139,0.4902154051003889,0.4765107702550194,Amino acid and nitrogenous compounds
0.38,0.3,0.31,0.73,Amino acid and nitrogenous compounds
0.03,0.02,0.32,0.31,Amino acid and nitrogenous compounds
0.3305604258447976,0.32247253370691015,0.32797802696552814,0.7030329595517077,Amino acid and nitrogenous compounds
0.0443115174735617,0.03908202329808226,0.3047343813615342,0.31381640465961647,Amino acid and nitrogenous compounds
0.3503345398241387,0.333373642697844,0.3285409126099133,0.6335872544284508,Amino acid and nitrogenous compounds
0.04305063715373106,0.04305063715373106,0.053311587473363925,0.07311587473363929,Amino acid and nitrogenous compounds
0.29,0.12,0.22,0.38,Amino acid and nitrogenous compounds
0.03,0.02,0.32,0.31,Amino acid and nitrogenous compounds
0.1292305255093045,0.1474721792990064,0.13824165378970193,0.33549443585980127,Amino acid and nitrogenous compounds
0.14928703980933908,0.21122486851695402,0.17316269722456898,0.43775131483045976,Amino acid and nitrogenous compounds
0.346585374950758,0.5114878062426137,0.5561707312524622,0.48,Amino acid and nitrogenous compounds
0.1150918228299613,0.12,0.13254591141498068,0.33141439523054483,Amino acid and nitrogenous compounds
0.2854674147279825,0.11093482945596503,0.266836714477514,0.38151086175733917,Amino acid and nitrogenous compounds
0.16608647605824367,0.1949556569048386,0.13217295211648733,0.2915631994446234,Amino acid and nitrogenous compounds
0.02231192977260589,0.04826605267054558,0.01942201755684853,0.10537614045478823,Carbohydrates and Phosphorylated Intermediates
0.37930406039390147,0.40943017524918773,0.21069593960609853,0.29493694257235686,Carbohydrates and Phosphorylated Intermediates
0.3515624950761975,0.44,0.27312499015239494,0.28697915517779415,Carbohydrates and Phosphorylated Intermediates
0.05063865008880857,0.0319159502664257,0.04239493783303213,0.14542852575487283,Carbohydrates and Phosphorylated Intermediates
0.029235753024885958,0.043073185231335534,0.017691061743778512,0.09152849395022808,Carbohydrates and Phosphorylated Intermediates
0.4231282173781792,0.5110769440768786,0.37517949067947975,0.35276923601921967,Carbohydrates and Phosphorylated Intermediates
0.34,0.44633472962349086,0.25950209443523625,0.27266945924698166,Carbohydrates and Phosphorylated Intermediates
0.2319993315565242,0.3343998663113048,0.3285005013326069,0.1982998997334786,Carbohydrates and Phosphorylated Intermediates
0.026672203530553426,0.044995847352084936,0.01833194911736164,0.09665559293889314,Carbohydrates and Phosphorylated Intermediates
0.38439718118430055,0.10200939605233163,0.3195981207895337,0.20173364653507772,Carbohydrates and Phosphorylated Intermediates
0.3178212121514648,0.3356424243029296,0.2312848486058593,0.21346363645439445,Carbohydrates and Phosphorylated Intermediates
0.42177639122119376,0.5217763912211938,0.3563093085875519,0.34177639122119374,Carbohydrates and Phosphorylated Intermediates
0.36446385896823474,0.4644638589682348,0.28180301665870516,0.2844638589682348,Carbohydrates and Phosphorylated Intermediates
0.3610187049389494,0.3285031174898249,0.2085031174898249,0.19,Carbohydrates and Phosphorylated Intermediates
0.3845559164007732,0.44495299954418266,0.36415883325736376,0.33623824988604567,Carbohydrates and Phosphorylated Intermediates
0.05432299672180008,0.025677003278199915,0.027031009834599745,0.09244703606019908,Carbohydrates and Phosphorylated Intermediates
0.11720205726477848,0.3140707280192226,0.414676740282555,0.18250506339644468,Carbohydrates and Phosphorylated Intermediates
0.018422847745949985,0.042114238729749925,0.02,0.09738278196759988,Carbohydrates and Phosphorylated Intermediates
0.20894590934134846,0.33248770666848826,0.3570344213282328,0.2114827893358836,Carbohydrates and Phosphorylated Intermediates
0.40629098583989115,0.397660516520127,0.21927253540027217,0.3360484976399819,Carbohydrates and Phosphorylated Intermediates
0.056332943289689706,0.018533177315875886,0.010733411342062057,0.03,Carbohydrates and Phosphorylated Intermediates
0.3972726395027705,0.33454543991712843,0.21454543991712843,0.19,Carbohydrates and Phosphorylated Intermediates
0.016734592311941646,0.03367296155970823,0.02,0.08387673849553318,Carbohydrates and Phosphorylated Intermediates
0.30893572947000225,0.20006892179162206,0.27422663846432394,0.5572511628154061,Carbohydrates and Phosphorylated Intermediates
0.2045835372056812,0.23854182420439002,0.19520834260025824,0.3289580645925111,Carbohydrates and Phosphorylated Intermediates
0.058058601217467455,0.019223440486986983,0.010388279756506509,0.03,Carbohydrates and Phosphorylated Intermediates
0.3315546615132185,0.37554661513218485,0.28,0.2577733075660924,Carbohydrates and Phosphorylated Intermediates
0.33241960330412146,0.4322052121151119,0.27747320110137386,0.2772588099123643,Carbohydrates and Phosphorylated Intermediates
0.21793842647781597,0.33158768529556315,0.339046180141638,0.1961907639716724,Carbohydrates and Phosphorylated Intermediates
0.12652995337344608,0.2521451631929388,0.37041013987966176,0.3163721153309301,Carbohydrates and Phosphorylated Intermediates
0.31416936312830346,0.3206948938547172,0.20069489385471725,0.19,Carbohydrates and Phosphorylated Intermediates
0.32821102743060054,0.4046330822918016,0.2578593150462663,0.24035171238433423,Carbohydrates and Phosphorylated Intermediates
0.17071982004495956,0.3237999591011272,0.38136011451684393,0.19931994274157802,Carbohydrates and Phosphorylated Intermediates
0.017037264942959176,0.03518632471479588,0.02,0.0862981195436734,Carbohydrates and Phosphorylated Intermediates
0.31495800817189007,0.3398320326875603,0.20826334695315013,0.20156868573441017,Carbohydrates and Phosphorylated Intermediates
0.4482799952584687,0.5485927233932926,0.3390618155955284,0.35906181559552836,Carbohydrates and Phosphorylated Intermediates
0.34,0.4484680296141274,0.2627020444211911,0.27693605922825476,Carbohydrates and Phosphorylated Intermediates
0.35738578218106837,0.3460511848182443,0.25025592409122155,0.2021023696364886,Carbohydrates and Phosphorylated Intermediates
0.3611953547584589,0.44586976349436075,0.3011953547584589,0.32119535475845884,Carbohydrates and Phosphorylated Intermediates
0.3398592017728492,0.43887361418279325,0.25042239468145255,0.25985920177284916,Carbohydrates and Phosphorylated Intermediates
0.3159652721226642,0.3718726644497686,0.2719884240408881,0.22789581636799244,Carbohydrates and Phosphorylated Intermediates
0.43,0.3613402585824595,0.177319482835081,0.2967012929122975,Carbohydrates and Phosphorylated Intermediates
0.08160702162124822,0.12482106486374467,0.15852633107968084,0.4086596837806099,Carbohydrates and Phosphorylated Intermediates
0.3581787992434303,0.4478808005043798,0.2981787992434303,0.31817879924343034,Carbohydrates and Phosphorylated Intermediates
0.36778902635540045,0.441473982429733,0.30778902635540045,0.32778902635540047,Carbohydrates and Phosphorylated Intermediates
0.3979138379598445,0.4783815271947861,0.3204676892349417,0.3404676892349417,Carbohydrates and Phosphorylated Intermediates
0.36744879026631344,0.4417008064891244,0.30744879026631344,0.32744879026631346,Carbohydrates and Phosphorylated Intermediates
0.43,0.34449884266630604,0.21100231466738795,0.21249421333153012,Carbohydrates and Phosphorylated Intermediates
0.015505493258617966,0.02752746629308983,0.02,0.07404394606894374,Carbohydrates and Phosphorylated Intermediates
0.42045898835095885,0.36904589883509586,0.17144921397884935,0.331413089515863,Carbohydrates and Phosphorylated Intermediates
0.33629181747801734,0.42291817478017335,0.28,0.2814590873900867,Carbohydrates and Phosphorylated Intermediates
0.016688412526636075,0.033442062633180364,0.02,0.08350730021308858,Carbohydrates and Phosphorylated Intermediates
0.046681552867650064,0.013340776433825034,0.01,0.023340776433825032,Carbohydrates and Phosphorylated Intermediates
0.43,0.3522610663687682,0.19547786726246363,0.25130533184384096,Carbohydrates and Phosphorylated Intermediates
0.31681398761228524,0.17,0.37978060277109293,0.7275834621029807,Carbohydrates and Phosphorylated Intermediates
0.22224868516954022,0.332449737033908,0.33581348612284484,0.19683730277543102,Carbohydrates and Phosphorylated Intermediates
0.4131951187672347,0.5017073125246211,0.3531951187672347,0.3485121937573863,Carbohydrates and Phosphorylated Intermediates
0.32321090289338494,0.3540595400317118,0.27745408858501935,0.2565062180605061,Carbohydrates and Phosphorylated Intermediates
0.02302172351467832,0.04395655297064336,0.018489138242660838,0.09640224418394755,Carbohydrates and Phosphorylated Intermediates
0.03886918084659493,0.021651885634946196,0.03443459042329747,0.10939024732813606,Carbohydrates and Phosphorylated Intermediates
0.5376880702273942,0.568844035113697,0.37231192977260585,0.34115596488630295,Organic acid
0.5,0.49,0.31,0.25,Organic acid
0.5154166601015967,0.5208333202031933,0.33312499015239494,0.28468748522859244,Organic acid
0.40159662522202144,0.4220756127886278,0.616647087033755,0.40920168738898927,Organic acid
0.305382123487557,0.25074804964423464,0.15,0.25305698790045617,Organic acid
0.5303589813589595,0.5651794906794797,0.37964101864104044,0.3448205093205203,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5333277964694466,0.5666638982347233,0.3766722035305534,0.34333610176527674,Organic acid
0.28080375842093264,0.25560281881569946,0.19773834456124353,0.785453198991658,Organic acid
0.5,0.49,0.31,0.25,Organic acid
0.5308881956105969,0.57,0.39004596965668686,0.34,Organic acid
0.5022319294841173,0.57,0.45308975513494176,0.34,Organic acid
0.5170062349796498,0.5240124699592995,0.33550935246947466,0.288264028704212,Organic acid
0.18990599908836533,0.1953500826875921,0.2983176665147275,0.31119124943022836,Organic acid
0.5227080131127997,0.5613540065563998,0.38729198688720035,0.3486459934436002,Organic acid
0.5012525316982224,0.5506262658491112,0.4087474683017776,0.3593737341508888,Organic acid
0.16365728381075023,0.15369139098379994,0.2679198684432998,0.2563427161892498,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5158060094400726,0.5216120188801451,0.33370901416010884,0.2855635212401633,Organic acid
0.3085331773158759,0.277532007184945,0.15,0.27826541852700704,Organic acid
0.5290908798342568,0.5481817596685137,0.35363631975138526,0.3154544796270779,Organic acid
0.3328578538164085,0.3030616307522334,0.20877733838505036,0.33571570763281694,Organic acid
0.51852219872027,0.57,0.4172511628154061,0.34,Organic acid
0.22854182420439,0.22770845380335708,0.21708320359638467,0.28520834260025824,Organic acid
0.30922344048698697,0.28339924413938933,0.15,0.28378752389589584,Organic acid
0.5337813539471261,0.566890676973563,0.3762186460528739,0.343109323026437,Organic acid
0.46967841321648574,0.44957121762198093,0.3150535977972524,0.29548238017527145,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.3304101398796618,0.29280760490974633,0.2638801865062157,0.6076969987645453,Organic acid
0.4,0.42,0.62,0.41,Organic acid
0.3375076026619321,0.3057186300925326,0.22073383541639674,0.34501520532386415,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.3307391453992858,0.3018509402281633,0.20332923102673484,0.3314782907985715,Organic acid
0.5066106775625201,0.5032213551250402,0.31991601634378014,0.2648740245156702,Organic acid
0.5393745437303523,0.5696872718651761,0.37062545626964777,0.3403127281348239,Organic acid
0.5,0.49,0.31,0.25,Organic acid
0.3523582937277101,0.3142047392729772,0.25892132672839746,0.37471658745542025,Organic acid
0.34347905397744305,0.37054417223026265,0.528153462713345,0.4170651182528196,Organic acid
0.5,0.49,0.31,0.25,Organic acid
0.4038610884906566,0.36181478465420885,0.3260231519182239,0.3942083672640151,Organic acid
0.471134195274865,0.5124744538573245,0.4706181899227835,0.3744329023625675,Organic acid
0.4790175540531206,0.5227228202690568,0.45406313648844676,0.3704912229734397,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5139569189799222,0.5569784594899612,0.39604308102007774,0.35302154051003887,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5,0.49,0.31,0.25,Organic acid
0.34146154718967425,0.3079780269655281,0.23090112134487661,0.35292309437934843,Organic acid
0.4923671906807671,0.4833212918456712,0.3119082023298082,0.258586910484137,Organic acid
0.5148327300879306,0.5574163650439653,0.39516726991206935,0.3525836349560347,Organic acid
0.18967381210045892,0.1467536501065443,0.24363777537290499,0.23032618789954112,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5,0.49,0.31,0.25,Organic acid
0.44197774343920515,0.43923052550930447,0.3245055641401987,0.31527503863089423,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5246829250098485,0.5623414625049242,0.38531707499015155,0.3476585374950758,Organic acid
0.2857568143083655,0.12113151618443585,0.15396030664552546,0.13424318569163443,Organic acid
0.36942396769862584,0.32395655297064335,0.3028044883678951,0.4088479353972517,Organic acid
0.18174057182526904,0.14886918084659492,0.25104213296308225,0.238259428174731,Organic acid
